Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
663,27,100.45,1,0.0460
664,28,100.45,1,0.0458
665,27,100.45,1,0.0456
666,24,100.45,1,0.0454
667,26,100.45,1,0.0453
668,25,100.45,1,0.0451
669,31,100.45,1,0.0449
670,31,100.45,1,0.0447
671,31,100.45,1,0.0446
672,41,100.05,1,0.0444
673,28,100.45,1,0.0442
674,29,100.45,1,0.0440
675,28,100.45,1,0.0439
676,29,100.45,1,0.0437
677,24,100.45,1,0.0435
678,31,100.45,1,0.0434
679,31,100.45,1,0.0432
680,41,100.45,1,0.0430
681,25,100.45,1,0.0429
682,28,100.25,1,0.0427
683,32,100.45,1,0.0425
684,26,100.45,1,0.0424
685,30,100.45,1,0.0422
686,26,100.45,1,0.0421
687,24,100.45,1,0.0419
688,34,100.45,1,0.0417
689,26,100.45,1,0.0416
690,28,100.45,1,0.0414
691,24,100.45,1,0.0413
692,26,100.45,1,0.0411
693,39,100.45,1,0.0410
694,24,100.45,1,0.0408
695,30,100.45,1,0.0407
696,24,100.45,1,0.0405
697,37,100.45,1,0.0403
698,24,100.45,1,0.0402
699,27,100.45,1,0.0400
700,28,100.45,1,0.0399
701,25,100.45,1,0.0397
702,33,100.45,1,0.0396
703,32,100.45,1,0.0395
704,24,100.45,1,0.0393
705,27,100.45,1,0.0392
706,31,100.45,1,0.0390
707,27,100.25,1,0.0389
708,27,100.45,1,0.0387
709,32,100.45,1,0.0386
710,28,100.45,1,0.0384
711,35,100.45,1,0.0383
712,25,100.45,1,0.0382
713,36,100.45,1,0.0380
714,24,100.45,1,0.0379
715,37,100.45,1,0.0377
716,35,99.64999999999999,1,0.0376
717,29,100.45,1,0.0375
718,29,100.45,1,0.0373
719,34,100.45,1,0.0372
720,27,100.45,1,0.0371
721,29,100.45,1,0.0369
722,49,100.45,1,0.0368
723,27,100.45,1,0.0366
724,25,100.45,1,0.0365
725,25,100.45,1,0.0364
726,38,100.45,1,0.0363
727,30,100.45,1,0.0361
728,25,100.45,1,0.0360
729,36,100.45,1,0.0359
730,31,100.45,1,0.0357
731,24,100.45,1,0.0356
732,32,100.45,1,0.0355
733,25,100.45,1,0.0353
734,24,100.45,1,0.0352
735,33,100.45,1,0.0351
736,29,100.45,1,0.0350
737,25,100.45,1,0.0348
738,25,100.45,1,0.0347
739,47,100.45,1,0.0346
740,27,100.45,1,0.0345
741,44,100.45,1,0.0344
742,30,100.45,1,0.0342
743,26,100.45,1,0.0341
744,33,99.85,1,0.0340
745,30,100.45,1,0.0339
746,34,100.25,1,0.0338
747,26,100.45,1,0.0336
748,30,100.45,1,0.0335
749,30,100.45,1,0.0334
750,25,100.45,1,0.0333
751,31,100.45,1,0.0332
752,25,100.45,1,0.0331
753,24,100.45,1,0.0329
754,40,100.05,1,0.0328
755,24,100.45,1,0.0327
756,31,100.25,1,0.0326
757,35,100.45,1,0.0325
758,25,100.45,1,0.0324
759,31,100.45,1,0.0323
760,38,99.64999999999999,1,0.0321
761,28,100.45,1,0.0320
762,32,100.45,1,0.0319
763,26,100.45,1,0.0318
764,32,100.45,1,0.0317
765,45,100.45,1,0.0316
766,42,100.45,1,0.0315
767,29,100.45,1,0.0314
768,28,100.45,1,0.0313
769,29,100.45,1,0.0312
770,30,100.05,1,0.0311
771,27,100.45,1,0.0310
772,29,100.45,1,0.0309
773,25,100.45,1,0.0308
774,24,100.45,1,0.0306
775,32,100.45,1,0.0305
776,26,100.45,1,0.0304
777,30,100.45,1,0.0303
778,42,100.25,1,0.0302
779,49,100.45,1,0.0301
780,30,100.45,1,0.0300
781,40,100.45,1,0.0299
782,30,100.45,1,0.0298
783,30,100.45,1,0.0297
784,26,100.45,1,0.0296
785,24,100.45,1,0.0295
786,30,100.45,1,0.0294
787,38,100.45,1,0.0294
788,31,100.45,1,0.0293
789,26,100.45,1,0.0292
790,24,100.45,1,0.0291
791,35,100.35,1,0.0290
792,30,100.45,1,0.0289
793,25,100.45,1,0.0288
794,27,100.45,1,0.0287
795,24,100.45,1,0.0286
796,39,100.45,1,0.0285
797,31,100.45,1,0.0284
798,37,100.45,1,0.0283
799,25,100.45,1,0.0282
800,28,100.45,1,0.0281
801,27,100.45,1,0.0280
802,26,100.45,1,0.0280
803,25,100.45,1,0.0279
804,24,100.45,1,0.0278
805,24,100.45,1,0.0277
806,26,100.45,1,0.0276
807,35,100.45,1,0.0275
808,25,100.45,1,0.0274
809,36,100.45,1,0.0273
810,36,100.45,1,0.0272
811,25,100.45,1,0.0272
812,26,100.45,1,0.0271
813,27,100.45,1,0.0270
814,28,100.45,1,0.0269
815,22,100.45,1,0.0268
816,32,100.45,1,0.0267
817,29,100.25,1,0.0267
818,33,100.45,1,0.0266
819,25,100.45,1,0.0265
820,24,100.45,1,0.0264
821,37,99.64999999999999,1,0.0263
822,29,100.45,1,0.0262
823,56,100.25,1,0.0262
824,28,100.45,1,0.0261
825,25,100.45,1,0.0260
826,40,100.45,1,0.0259
827,33,99.85,1,0.0258
828,26,100.45,1,0.0258
829,24,100.45,1,0.0257
830,26,100.45,1,0.0256
831,37,100.05,1,0.0255
832,35,100.45,1,0.0255
833,26,100.45,1,0.0254
834,26,100.45,1,0.0253
835,32,100.45,1,0.0252
836,32,100.45,1,0.0251
837,27,100.45,1,0.0251
838,28,100.45,1,0.0250
839,27,100.45,1,0.0249
840,33,100.45,1,0.0248
841,25,100.45,1,0.0248
842,25,100.45,1,0.0247
843,26,100.45,1,0.0246
844,25,100.45,1,0.0246
845,48,100.45,1,0.0245
846,33,100.25,1,0.0244
847,27,100.45,1,0.0243
848,25,100.45,1,0.0243
849,34,100.25,1,0.0242
850,25,100.45,1,0.0241
851,28,100.25,1,0.0241
852,31,100.45,1,0.0240
853,26,100.45,1,0.0239
854,25,100.45,1,0.0238
855,29,100.45,1,0.0238
856,24,100.45,1,0.0237
857,35,100.45,1,0.0236
858,35,100.45,1,0.0236
