Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
371,200,-50.10000000000002,0,0.1649
372,200,-64.35000000000001,0,0.1641
373,157,949.6999999999999,1,0.1633
374,200,-64.2,0,0.1626
375,121,962.6999999999999,1,0.1618
376,200,-54.29999999999999,0,0.1611
377,200,-46.95000000000003,0,0.1603
378,200,-40.5,0,0.1596
379,200,-58.8,0,0.1588
380,200,-66.3,0,0.1581
381,138,958.1999999999999,1,0.1573
382,140,954.6999999999999,1,0.1566
383,28,996.1999999999999,1,0.1559
384,93,979.6999999999999,1,0.1551
385,24,1000.1999999999999,1,0.1544
386,92,974.1999999999999,1,0.1537
387,19,1000.1999999999999,1,0.1530
388,51,989.6999999999999,1,0.1523
389,48,989.6999999999999,1,0.1516
390,96,969.1999999999999,1,0.1509
391,53,995.6999999999999,1,0.1501
392,50,993.6999999999999,1,0.1494
393,17,1000.6999999999999,1,0.1488
394,32,1000.1999999999999,1,0.1481
395,27,1000.6999999999999,1,0.1474
396,49,995.1999999999999,1,0.1467
397,53,996.1999999999999,1,0.1460
398,38,997.1999999999999,1,0.1453
399,34,998.6999999999999,1,0.1447
400,24,999.6999999999999,1,0.1440
401,41,997.1999999999999,1,0.1433
402,200,-54.600000000000016,0,0.1426
403,200,-48.099999999999994,0,0.1420
404,30,1000.1999999999999,1,0.1413
405,200,-57.1,0,0.1407
406,200,-56.099999999999994,0,0.1400
407,200,-34.5,0,0.1394
408,200,-34.0,0,0.1387
409,200,-36.0,0,0.1381
410,200,-33.5,0,0.1374
411,200,-43.49999999999997,0,0.1368
412,200,-33.5,0,0.1362
413,200,-32.0,0,0.1356
414,200,-33.5,0,0.1349
415,200,-43.499999999999986,0,0.1343
416,200,-33.0,0,0.1337
417,200,-40.95,0,0.1331
418,200,-49.95,0,0.1325
419,200,-51.5,0,0.1318
420,104,981.6999999999999,1,0.1312
421,53,994.1999999999999,1,0.1306
422,200,-39.0,0,0.1300
423,200,-45.5,0,0.1294
424,200,-49.35000000000001,0,0.1288
425,200,-51.5,0,0.1282
426,200,-59.5,0,0.1276
427,200,-61.0,0,0.1271
428,47,994.6999999999999,1,0.1265
429,200,-46.70000000000001,0,0.1259
430,200,-53.400000000000006,0,0.1253
431,200,-63.0,0,0.1247
432,200,-62.45,0,0.1242
433,200,-60.99999999999999,0,0.1236
434,200,-60.60000000000001,0,0.1230
435,200,-48.95,0,0.1225
436,200,-62.849999999999994,0,0.1219
437,146,967.6999999999999,1,0.1214
438,200,-52.949999999999996,0,0.1208
439,200,-53.60000000000002,0,0.1202
440,200,-57.99999999999997,0,0.1197
441,200,-57.900000000000006,0,0.1191
442,200,-59.099999999999994,0,0.1186
443,200,-55.49999999999999,0,0.1181
444,200,-61.5,0,0.1175
445,200,-60.5,0,0.1170
446,200,-54.45,0,0.1165
447,200,-61.15000000000002,0,0.1159
448,200,-54.499999999999986,0,0.1154
449,200,-56.550000000000026,0,0.1149
450,200,-57.35000000000001,0,0.1143
451,200,-58.05,0,0.1138
452,200,-60.300000000000004,0,0.1133
453,200,-58.95,0,0.1128
454,200,-64.80000000000003,0,0.1123
455,83,982.1999999999999,1,0.1118
456,135,966.1999999999999,1,0.1113
457,103,980.1999999999999,1,0.1108
458,167,958.1999999999999,1,0.1103
459,132,966.6999999999999,1,0.1098
460,26,999.6999999999999,1,0.1093
461,200,-54.54999999999999,0,0.1088
462,156,966.1999999999999,1,0.1083
463,32,1000.1999999999999,1,0.1078
464,34,996.6999999999999,1,0.1073
465,23,1000.6999999999999,1,0.1068
466,29,999.6999999999999,1,0.1063
467,32,1000.6999999999999,1,0.1058
468,22,1000.6999999999999,1,0.1054
469,28,1000.6999999999999,1,0.1049
470,31,1000.6999999999999,1,0.1044
471,21,1000.6999999999999,1,0.1039
472,32,997.6999999999999,1,0.1035
473,38,998.6999999999999,1,0.1030
474,86,985.6999999999999,1,0.1025
475,40,999.1999999999999,1,0.1021
476,44,996.6999999999999,1,0.1016
477,28,1000.1999999999999,1,0.1012
478,24,1000.6999999999999,1,0.1007
479,24,1000.6999999999999,1,0.1003
480,50,996.1999999999999,1,0.0998
481,38,996.1999999999999,1,0.0994
482,25,1000.6999999999999,1,0.0989
483,23,1000.6999999999999,1,0.0985
484,36,999.6999999999999,1,0.0980
485,27,999.1999999999999,1,0.0976
486,33,1000.6999999999999,1,0.0972
487,38,996.6999999999999,1,0.0967
488,39,1000.6999999999999,1,0.0963
489,48,995.6999999999999,1,0.0959
490,59,995.6999999999999,1,0.0954
491,33,1000.6999999999999,1,0.0950
492,37,997.6999999999999,1,0.0946
493,144,969.1999999999999,1,0.0942
494,39,998.6999999999999,1,0.0937
495,57,998.6999999999999,1,0.0933
496,31,999.1999999999999,1,0.0929
497,32,1000.6999999999999,1,0.0925
498,37,999.6999999999999,1,0.0921
499,36,1000.6999999999999,1,0.0917
500,53,1000.1999999999999,1,0.0913
501,32,1000.6999999999999,1,0.0909
502,41,997.6999999999999,1,0.0905
503,32,1000.1999999999999,1,0.0901
504,62,989.6999999999999,1,0.0897
505,51,995.6999999999999,1,0.0893
506,59,991.6999999999999,1,0.0889
507,33,1000.6999999999999,1,0.0885
508,109,980.1999999999999,1,0.0881
509,39,999.6999999999999,1,0.0877
510,38,999.6999999999999,1,0.0873
511,35,1000.6999999999999,1,0.0869
512,47,996.6999999999999,1,0.0865
513,53,996.6999999999999,1,0.0861
514,32,1000.6999999999999,1,0.0858
515,23,1000.6999999999999,1,0.0854
516,83,985.6999999999999,1,0.0850
517,36,998.6999999999999,1,0.0846
518,39,999.6999999999999,1,0.0843
519,42,998.6999999999999,1,0.0839
520,37,1000.6999999999999,1,0.0835
521,34,999.6999999999999,1,0.0832
522,31,1000.6999999999999,1,0.0828
523,28,998.6999999999999,1,0.0824
524,23,1000.1999999999999,1,0.0821
525,32,1000.6999999999999,1,0.0817
526,46,994.1999999999999,1,0.0814
527,44,999.6999999999999,1,0.0810
528,63,992.1999999999999,1,0.0806
529,35,1000.6999999999999,1,0.0803
530,33,1000.1999999999999,1,0.0799
531,48,996.6999999999999,1,0.0796
